Rip;Stato;ValoreAttuale;Unita;SetDay;ValoreAlSetDay;UltimaRicezione;DataLettura
93445905;0;60;MeasureUnit.HCA;0;2020-09-30;2021-11-12T02:27;20211112
93445905;0;58;MeasureUnit.HCA;0;2020-09-30;2021-11-11T19:08;20211111
93445905;0;53;MeasureUnit.HCA;0;2020-09-30;2021-11-09T19:41;20211109
93445905;0;69;MeasureUnit.HCA;0;2020-09-30;2021-11-15T03:41;20211115
93445905;0;63;MeasureUnit.HCA;0;2020-09-30;2021-11-13T18:56;20211113
93445905;0;70;MeasureUnit.HCA;0;2020-09-30;2021-11-16T03:30;20211116
93445905;0;73;MeasureUnit.HCA;0;2020-09-30;2021-11-17T20:11;20211117
93445905;0;73;MeasureUnit.HCA;0;2020-09-30;2021-11-18T03:42;20211118
93445905;0;79;MeasureUnit.HCA;0;2020-09-30;2021-11-20T02:56;20211120
93445905;0;76;MeasureUnit.HCA;0;2020-09-30;2021-11-18T20:00;20211119
93445905;0;79;MeasureUnit.HCA;0;2020-09-30;2021-11-20T18:25;20211120T22
93445905;0;79;MeasureUnit.HCA;0;2020-09-30;2021-11-21T02:35;20211121
93445906;0;218;MeasureUnit.HCA;0;2020-09-30;2021-11-22T04:13;20211122
93445905;0;85;MeasureUnit.HCA;0;2020-09-30;2021-11-23T04:19;20211123
93445905;0;91;MeasureUnit.HCA;0;2020-09-30;2021-11-25T19:02;20211125
93445905;0;91;MeasureUnit.HCA;0;2020-09-30;2021-11-26T02:24;20211126
93445905;0;94;MeasureUnit.HCA;0;2020-09-30;2021-11-27T03:21;20211127
93445905;0;96;MeasureUnit.HCA;0;2020-09-30;2021-11-28T03:08;20211128
93445905;0;99;MeasureUnit.HCA;0;2020-09-30;2021-11-29T03:57;20211129
93445905;0;101;MeasureUnit.HCA;0;2020-09-30;2021-11-30T03:42;20211130
93445905;0;104;MeasureUnit.HCA;0;2020-09-30;2021-12-01T02:42;20211201
93445905;0;104;MeasureUnit.HCA;0;2020-09-30;2021-12-01T02:42;202112
93445905;0;116;MeasureUnit.HCA;0;2020-09-30;2021-12-03T03:45;20211203
93445905;0;129;MeasureUnit.HCA;0;2020-09-30;2021-12-06T02:50;20211206
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-10T02:52;20211110
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-12T04:29;20211112
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-11T19:46;20211111
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-09T19:30;20211109
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-15T03:21;20211115
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-13T04:05;20211113
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-16T03:51;20211116
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-17T18:51;20211117
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-18T03:31;20211118
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-19T20:24;20211120
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-18T19:21;20211119
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-20T20:47;20211120T22
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-20T20:47;20211121
93445905;0;83;MeasureUnit.HCA;0;2020-09-30;2021-11-22T03:19;20211122
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-23T02:51;20211123
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-25T20:07;20211125
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-26T19:46;20211126
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-27T03:39;20211127
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-28T03:44;20211128
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-29T03:22;20211129
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-11-30T03:18;20211130
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-12-01T04:21;20211201
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-12-01T04:21;202112
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-12-03T03:34;20211203
93445894;0;12;MeasureUnit.HCA;0;2020-09-30;2021-12-06T04:27;20211206
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-10T03:55;20211110
93445893;0;0;MeasureUnit.HCA;0;2020-09-30;2021-11-12T03:23;20211112
