sep=;
Nome del  programma;Data ed ora di lettura;Indirizzo radio;Info;Errore (codice) ;Cod. identificazione ;Matricola fabbricante;Versione contatore;Tipo del dispositivo;Stato ;Totalizzatore valore attuale;Unità totalizzate al giorno di memoriz.;Unità memorizzate prima dell'azzeramento;Flags e RSSI;Manomissione in corso;Errore di temperatura;Errore elettronico;RSSI;Valore mensile - 1;Valore mensile - 2;Valore mensile - 3;Valore mensile - 4;Valore mensile - 5;Valore mensile - 6;Valore mensile - 7;Valore mensile - 8;Valore mensile - 9;Valore mensile - 10;Valore mensile - 11;Valore mensile - 12;Valore mensile - 13;Valore mensile - 14;Valore mensile - 15;Valore mensile - 16;Valore mensile - 17;Valore mensile - 18;Valore mensile - 0.5 (-19);Valore mensile - 1.5 (-20);Valore mensile - 2.5 (-21);Valore mensile - 3.5 (-22);Valore mensile - 4.5 (-23);Valore mensile - 5.5 (-24);Valore mensile - 6.5 (-25);Valore mensile - 7.5 (-26);Valore mensile - 8.5 (-27);Valore mensile - 9.5 (-28);Valore mensile - 10.5 (-29);Valore mensile - 11.5 (-30);Valore mensile - 12.5 (-31);Valore mensile - 13.5 (-32);Valore mensile - 14.5 (-33);Valore mensile - 15.5 (-34);Valore mensile - 16.5 (-35);Valore mensile - 17.5 (-36);Data ultima manomissione;Data di messa in servizio;Durata manomissione [min];Temp. radiatore;Temp. ambiente;Temp. max. radiatore periodo attuale;Temp. max radiatore periodo precedente;Data ed ora del dispositivo;N° di serie;Giorno di memorizzazione;Fattore Kc x Kq;Periodo dei valori memorizzati in 19-36;Versione software ;
Son556-Supercom;06/05/2022 10.00.47;13121193;;Lettura OK;13121193;SON;16;Heat cost allocator;0;0;138;138;16;No;No;No;-100 dBm;0;138;138;136;105;54;11;0;0;0;0;0;0;85;85;85;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,66;17,01;20,65;63,7;06/05/2022 09.00;13121193;30/04;2,468;;1.08;
Son556-Supercom;06/05/2022 10.00.51;13121194;;Lettura OK;13121194;SON;16;Heat cost allocator;0;0;2347;2347;32;No;No;No;-90 dBm;0;2215;1911;1571;1089;575;252;60;60;60;60;60;9;3449;2893;2328;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,53;16,78;20,77;64,66;06/05/2022 09.00;13121194;30/04;4,7699995;;1.08;
Son556-Supercom;06/05/2022 10.00.54;13121195;;Lettura OK;13121195;SON;16;Heat cost allocator;0;0;70;70;16;No;No;No;-100 dBm;0;69;65;62;43;32;0;0;0;0;0;0;0;76;71;64;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,08;16,39;21,1;68,98;06/05/2022 09.00;13121195;30/04;1,844;;1.08;
Son556-Supercom;06/05/2022 10.00.58;13121196;;Lettura OK;13121196;SON;16;Heat cost allocator;0;0;1183;1183;16;No;No;No;-100 dBm;0;1097;922;757;514;274;89;17;17;17;17;17;3;1241;1060;864;;;;;;;;;;;;;;;;;;;;;20/10/2017;;6;20,11;17,68;21,38;65;06/05/2022 09.00;13121196;30/04;1,5836399;;1.08;
Son556-Supercom;06/05/2022 10.01.05;13121510;;Lettura OK;13121510;SON;16;Heat cost allocator;0;0;0;0;32;No;No;No;-90 dBm;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;21;;;;;;;;;;;;;;;;;;;;;09/05/2017;;235776;20,12;16,86;20,96;28,55;06/05/2022 09.00;13121510;30/04;1,9821999;;1.08;
Son556-Supercom;06/05/2022 10.01.08;13109260;;Lettura OK;13109260;SON;16;Heat cost allocator;0;0;879;879;16;No;No;No;-100 dBm;0;784;784;565;457;197;139;0;0;0;0;0;0;646;646;422;;;;;;;;;;;;;;;;;;;;;22/07/2015;;38;17,88;15,46;19,87;66,33;06/05/2022 09.01;13109260;30/04;4,0619197;;1.08;
Son556-Supercom;06/05/2022 10.01.12;13121197;;Lettura OK;13121197;SON;16;Heat cost allocator;0;0;242;242;16;No;No;No;-100 dBm;0;237;237;181;163;73;49;0;0;0;0;0;0;222;222;140;;;;;;;;;;;;;;;;;;;;;12/03/2015;;189834;19,08;15,68;19,96;63,96;06/05/2022 09.01;13121197;30/04;1,5836399;;1.08;
Son556-Supercom;06/05/2022 10.01.15;13121198;;Lettura OK;13121198;SON;16;Heat cost allocator;0;0;0;0;16;No;No;No;-100 dBm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;01/01/2000;;12;18,88;16,37;19,83;28,93;06/05/2022 09.01;13121198;30/04;1,9821999;;1.08;
Son556-Supercom;06/05/2022 10.01.19;13121199;;Lettura OK;13121199;SON;16;Heat cost allocator;0;0;1079;1079;32;No;No;No;-90 dBm;0;963;963;707;572;245;171;0;0;0;0;0;0;818;818;537;;;;;;;;;;;;;;;;;;;;;12/03/2015;;189830;18,39;16,46;19,69;66,5;06/05/2022 09.01;13121199;30/04;5,3169594;;1.08;
Son556-Supercom;06/05/2022 10.01.23;13121201;;Lettura OK;13121201;SON;16;Heat cost allocator;0;0;301;301;16;No;No;No;-100 dBm;0;270;270;197;161;69;49;0;0;0;0;0;0;218;218;148;;;;;;;;;;;;;;;;;;;;;12/03/2015;;189839;18,14;15,72;20,42;63,92;06/05/2022 09.01;13121201;30/04;1,5899999;;1.08;
Son556-Supercom;06/05/2022 10.01.26;13121202;;Lettura OK;13121202;SON;16;Heat cost allocator;0;0;986;986;16;No;No;No;-100 dBm;0;875;875;634;512;227;160;0;0;0;0;0;0;654;654;419;;;;;;;;;;;;;;;;;;;;;12/03/2015;;189834;18,09;15,06;20,14;61,59;06/05/2022 09.01;13121202;30/04;4,7699995;;1.08;
Son556-Supercom;06/05/2022 10.01.30;13121203;;Lettura OK;13121203;SON;16;Heat cost allocator;0;0;377;377;16;No;No;No;-100 dBm;0;339;339;251;215;93;63;0;0;0;0;0;0;283;283;176;;;;;;;;;;;;;;;;;;;;;12/03/2015;;189838;17,96;14,71;20,17;65,46;06/05/2022 09.01;13121203;30/04;1,8995199;;1.08;
Son556-Supercom;06/05/2022 10.01.33;13121205;;Lettura OK;13121205;SON;16;Heat cost allocator;0;0;330;330;32;No;No;No;-90 dBm;0;291;291;208;168;74;52;0;0;0;0;0;0;231;231;149;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,06;15,72;19,99;67,71;06/05/2022 09.01;13121205;30/04;1,464;;1.08;
Son556-Supercom;06/05/2022 10.01.37;25105847;;Lettura OK;25105847;SON;16;Heat cost allocator;0;0;352;352;32;No;No;No;-90 dBm;0;314;314;229;189;82;58;0;0;0;0;0;0;270;270;270;;;;;;;;;;;;;;;;;;;;;28/04/2021;;0;18,79;16,82;19,97;67,13;06/05/2022 09.01;25105847;30/04;1,844;;1.08;
Son556-Supercom;06/05/2022 10.01.40;13110524;;Lettura OK;13110524;SON;16;Heat cost allocator;0;0;2380;2380;32;No;No;No;-90 dBm;0;2175;1844;1497;1037;567;205;60;60;60;60;60;8;1961;1620;1265;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,28;16,3;20,05;66,13;06/05/2022 09.01;13110524;30/04;2,38076;;1.08;
Son556-Supercom;06/05/2022 10.01.44;13110525;;Lettura OK;13110525;SON;16;Heat cost allocator;0;0;606;606;16;No;No;No;-100 dBm;0;601;534;477;293;106;66;62;62;62;62;62;8;2710;2259;1971;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;19,23;16,32;20,18;53,39;06/05/2022 09.01;13110525;30/04;3,832;;1.08;
Son556-Supercom;06/05/2022 10.01.48;13110526;;Lettura OK;13110526;SON;16;Heat cost allocator;0;0;234;234;16;No;No;No;-100 dBm;0;233;207;186;102;15;0;0;0;0;0;0;0;1726;1702;1568;;;;;;;;;;;;;;;;;;;;;01/01/2000;;0;18,69;16,39;19,97;40,91;06/05/2022 09.01;13110526;30/04;5,3169594;;1.08;
